household_id,record_id,record_type,category,subcategory,amount,currency,transaction_date,description,payment_method,payer_payee,is_recurring,recurrence_interval,household_size,location_city,location_state,location_postal_code,location_country
HH001,REC001,income,salary,,4200,USD,2023-11-30,November salary direct deposit,bank_transfer,Pacific Tech Corp,true,monthly,1,Seattle,WA,98101,USA
HH002,REC002,expense,rent,,1850,USD,2023-12-01,December apartment rent,bank_transfer,Maplewood Apartments,true,monthly,2,Austin,TX,78701,USA
HH003,REC003,income,investment,dividends,350.25,USD,2024-01-15,Quarterly stock dividends,bank_transfer,Fidelity Investments,true,quarterly,2,San Jose,CA,95112,USA
HH004,REC004,expense,groceries,fruits,94.13,USD,2023-12-14,Grocery shopping - fruits,debit_card,Trader Joe's,false,,3,Chicago,IL,60607,USA
HH005,REC005,expense,utilities,electricity,120.55,USD,2024-01-05,Electricity bill January,bank_transfer,Seattle City Light,true,monthly,1,Seattle,WA,98122,USA
HH006,REC006,income,side_job,rideshare,420,USD,2023-12-18,Uber driving weekly payout,bank_transfer,Uber,false,,1,Houston,TX,77002,USA
HH007,REC007,expense,entertainment,movie,48.5,USD,2023-11-23,IMAX movie night tickets,credit_card,AMC Theatres,false,,2,Boston,MA,02114,USA
HH008,REC008,expense,utilities,water,62.7,USD,2023-12-06,December water bill,bank_transfer,Boston Water Dept,true,monthly,2,Boston,MA,02110,USA
HH009,REC009,income,rental_income,,2300,USD,2024-01-04,Rental income January,bank_transfer,Downtown Tenant,true,monthly,4,New York,NY,10016,USA
HH010,REC010,expense,transportation,public_transit,110,USD,2024-01-09,January subway card reload,credit_card,MTA,true,monthly,1,New York,NY,10001,USA
HH011,REC011,income,freelance,consulting,900,EUR,2023-12-17,Consulting project payment,bank_transfer,TechStart Berlin,false,,2,Berlin,BE,10115,DEU
HH012,REC012,expense,childcare,daycare,680,EUR,2024-01-02,January daycare fee,bank_transfer,KinderCare Mitte,true,monthly,3,Berlin,BE,10407,DEU
HH013,REC013,expense,groceries,vegetables,79.85,GBP,2023-12-22,Weekly groceries veg aisle,debit_card,Tesco,false,,1,Manchester,ENG,M13 9PL,GBR
HH014,REC014,income,gift,,200,GBP,2023-12-25,Christmas money gift,cash,Grandmother,false,,1,Manchester,ENG,M15 4AA,GBR
HH015,REC015,expense,healthcare,dental,150,EUR,2023-12-12,Dental checkup fee,credit_card,Smile Dental,false,,2,Munich,BY,80331,DEU
HH016,REC016,expense,insurance,car,480,EUR,2024-01-09,Annual car insurance premium,bank_transfer,Allianz,true,yearly,1,Munich,BY,80336,DEU
HH017,REC017,income,salary,,3450,GBP,2023-11-29,Monthly salary payment,bank_transfer,Crown Digital Ltd,true,monthly,2,London,ENG,SW1A 1AA,GBR
HH018,REC018,expense,education,books,92.3,GBP,2023-12-19,University course books,credit_card,Waterstones,false,,1,London,ENG,W1D 1LL,GBR
HH019,REC019,income,pension,,2190,EUR,2023-12-31,December pension deposit,bank_transfer,Deutsche Rente,true,monthly,1,Madrid,MD,28001,ESP
HH020,REC020,expense,miscellaneous,pet_supplies,67.1,EUR,2024-01-08,Pet food and toys,debit_card,TiendAnimal,false,,2,Madrid,MD,28010,ESP
HH021,REC021,expense,lottery,,5000000,USD,2023-12-31,Powerball jackpot win,check,Powerball Lottery,false,,1,Las Vegas,NV,89109,USA
HH022,REC022,expense,groceries,dairy,54.22,CAD,2024-01-10,Weekly dairy groceries,debit_card,Loblaws,false,,3,Toronto,ON,M5B 1T8,CAN
HH023,REC023,income,investment,bonds,180,CAD,2023-12-30,Bond interest payment,bank_transfer,RBC Wealth,false,,2,Toronto,ON,M6J 2K2,CAN
HH024,REC024,expense,utilities,internet,64.99,CAD,2024-01-06,Monthly internet bill,bank_transfer,Bell Canada,true,monthly,2,Toronto,ON,M4Y 1A8,CAN
HH025,REC025,income,salary,,720000,JPY,2023-12-27,December salary payment,bank_transfer,Matsuda Group,true,monthly,4,Osaka,27,530-0001,JPN
HH026,REC026,expense,education,tuition,100000,JPY,2024-01-05,Winter semester tuition,bank_transfer,Osaka University,true,yearly,2,Osaka,27,565-0871,JPN
HH027,REC027,expense,transportation,gasoline,8000,JPY,2023-12-14,Car fuel purchase,credit_card,ENEOS,false,,2,Osaka,27,541-0042,JPN
HH028,REC028,income,freelance,graphic_design,15000,JPY,2023-12-19,Logo design project,bank_transfer,Kobe Creative,false,,3,Kobe,28,650-0012,JPN
HH029,REC029,expense,insurance,health,11000,JPY,2024-01-03,Monthly health insurance,bank_transfer,Japan Health Ins,true,monthly,1,Osaka,27,530-0047,JPN
HH030,REC030,income,salary,,132000,INR,2023-12-31,Monthly salary deposit,bank_transfer,Wipro Ltd,true,monthly,6,Kolkata,WB,700091,IND
HH031,REC031,expense,groceries,spices,1800,INR,2024-01-09,Monthly spice shopping,cash,New Market,false,,6,Kolkata,WB,700017,IND
HH032,REC032,income,gift,,10000,INR,2023-12-25,Festival cash gift,cash,Uncle Surajit,false,,2,Kolkata,WB,700019,IND
HH033,REC033,expense,childcare,school_fees,35000,INR,2024-01-04,Quarterly school fees,bank_transfer,St. Xavier's School,true,quarterly,12,Kolkata,WB,700016,IND
HH034,REC034,expense,entertainment,concert,3300,INR,2023-12-23,Rock concert tickets,mobile_payment,BookMyShow,false,,2,Bangalore,KA,560001,IND
HH035,REC035,income,investment,mutual_fund,7000,INR,2024-01-07,MF redemption payout,bank_transfer,HDFC Mutual Fund,false,,3,Mumbai,MH,400001,IND
HH036,REC036,expense,utilities,gas,120,AUD,2024-01-06,Monthly gas bill,bank_transfer,AGL Energy,true,monthly,2,Sydney,NSW,2000,AUS
HH037,REC037,income,salary,,5800,AUD,2023-12-28,December salary credit,bank_transfer,Macquarie Group,true,monthly,2,Sydney,NSW,2000,AUS
HH038,REC038,expense,entertainment,art_auction,2500000,AUD,2023-12-30,Modern art auction bid,check,Sydney Auction House,false,,1,Sydney,NSW,2000,AUS
HH039,REC039,expense,miscellaneous,gifts,500,AUD,2023-12-24,Christmas gift shopping,credit_card,Myer,false,,3,Melbourne,VIC,3000,AUS
HH040,REC040,income,salary,,5200,CAD,2023-12-30,Monthly salary paid,bank_transfer,Toronto Hydro,true,monthly,2,Toronto,ON,M4B 1B3,CAN
HH041,REC041,expense,healthcare,pharmacy,29.99,USD,2024-01-02,Cold medicine and vitamins,credit_card,Walgreens,false,,1,Dallas,TX,75201,USA
HH042,REC042,income,rental_income,,3200,USD,2024-01-02,Monthly rental payment,bank_transfer,Elm Street Tenant,true,monthly,1,Los Angeles,CA,90015,USA
HH043,REC043,expense,rent,,2300,USD,2023-12-01,December house rent,bank_transfer,Westside Realty,true,monthly,4,Los Angeles,CA,90007,USA
HH044,REC044,expense,transportation,taxi,40.85,USD,2024-01-10,Taxi ride airport,mobile_payment,Yellow Cab,false,,1,San Francisco,CA,94103,USA
HH045,REC045,income,side_job,pet_sitting,340,USD,2024-01-03,Holiday pet sitting,cash,Neighbor Amy,false,,3,Portland,OR,97209,USA
HH046,REC046,expense,insurance,home,1120,USD,2024-01-06,Annual home insurance,bank_transfer,State Farm,true,yearly,1,San Diego,CA,92101,USA
HH047,REC047,expense,utilities,phone,119.99,USD,2024-01-07,Monthly phone bill,bank_transfer,Verizon Wireless,true,monthly,1,San Diego,CA,92110,USA
HH048,REC048,income,gift,,500,USD,2023-12-26,Birthday cash gift,cash,Aunt Linda,false,,2,Miami,FL,33132,USA
HH049,REC049,expense,miscellaneous,stationery,25.3,USD,2024-01-11,Office stationery supplies,credit_card,Staples,false,,1,Atlanta,GA,30303,USA
HH050,REC050,income,freelance,writing,250,USD,2024-01-05,Article writing payment,bank_transfer,Medium Publications,false,,2,Denver,CO,80202,USA
HH201,REC201,income,salary,,4300,USD,2024-03-31,Salary for March 2024,bank_transfer,Acme Corp,true,monthly,1,Dallas,TX,75201,USA
HH202,REC202,expense,rent,,1700,USD,2024-04-01,Monthly rent payment April,bank_transfer,Greenwood Apartments,true,monthly,2,Portland,OR,97209,USA
HH203,REC203,expense,groceries,produce,95.2,USD,2024-04-06,Weekly produce market run,debit_card,Fresh Market,false,,3,San Diego,CA,92103,USA
HH204,REC204,income,investment,dividends,350.75,GBP,2024-03-25,Quarterly dividend payout,bank_transfer,London Equity Ltd,true,quarterly,2,Manchester,ENG,M1 2AB,GBR
HH205,REC205,expense,utilities,electricity,110.6,USD,2024-03-28,Electric bill March 2024,bank_transfer,PowerGrid Inc,true,monthly,2,Denver,CO,80203,USA
HH206,REC206,expense,entertainment,movies,29.99,USD,2024-03-29,Family movie night tickets,credit_card,Cineplex 8,false,,4,Austin,TX,78701,USA
HH207,REC207,expense,transportation,bus_pass,50,EUR,2024-04-02,Monthly bus pass April,cash,Berlin Transit,true,monthly,1,Berlin,BE,10115,DEU
HH208,REC208,expense,groceries,dairy,42.75,USD,2024-04-03,Weekly grocery - dairy,debit_card,SuperMart,false,,2,Phoenix,AZ,85012,USA
HH209,REC209,expense,childcare,nursery,650,EUR,2024-03-27,Nursery fee for March,bank_transfer,Little Steps Nursery,true,monthly,3,Madrid,M,28013,ESP
HH210,REC210,income,freelance,graphic_design,800,USD,2024-03-20,Freelance design project,mobile_payment,Pixel Studio,false,,1,Chicago,IL,60601,USA
